"id";"product_title";"active";"category_id";"brand_id"
1;"PB90 10000mAh";"yes";2;2
2;"PB80 10000mAh";"yes";2;2
3;"PPBD10 Bipow Digital Display 15W 10000mAh";"yes";2;1
4;"PPBD10K-X Bipow Digital Display 20W 10000mAh";"yes";2;1
5;"Orochi V2 Wireless Gaming Mouse";"yes";1;4
6;"Viper Ultimate RGB Gaming Mouse";"yes";1;4
7;"Viper Mini Ultra-Lightweight RGB Gaming Mouse";"yes";1;4
8;"HV-MS1027 USB Gaming Mouse";"yes";1;2
9;"MS76GT Plus Wireless Optical Mouse";"yes";1;2
10;"OP-720 Optical USB Mouse";"yes";1;3
11;"OP-330 Wired USB Optical Mouse";"yes";1;3
12;"G3-200/200N Black & Orange Wireless Mouse";"yes";1;3
13;"G3-300N Black-Orange V-Track Wireless Mouse";"yes";1;3
14;"Bloody S510R RGB Wired Mechanical Gaming Keyboard";"yes";3;3
15;"B930 TKL USB RGB Light Strike Mechanical Gaming Keyboard Black";"yes";3;3
16;"W301 1.39"" AMOLED Display 46mm Smart Watch (Global Version)";"yes";4;5
17;"GTR 2 Classic Edition AMOLED Curved Display Smart Watch";"yes";4;6
18;"Amazfit Bip U Smart Watch Black (Global Version)";"yes";4;6
